User-ID,total_ratings,avg_rating,rating_std,unique_books,Age,Country,Age_filled,has_age
929,25,7.04,1.457,25,36.0,Unknown,36.0,True
984,3,7.667,1.155,3,,Unknown,34.0,False
1009,3,9.0,1.0,3,56.0,Unknown,56.0,True
1021,3,9.333,1.155,3,,Unknown,34.0,False
1025,50,8.14,1.498,50,33.0,Unknown,33.0,True
1032,3,9.333,1.155,3,,Unknown,34.0,False
1048,3,8.0,1.0,3,22.0,Unknown,22.0,True
1063,8,7.375,1.923,8,19.0,Unknown,19.0,True
1075,10,7.7,1.829,10,49.0,Unknown,49.0,True
1083,6,8.667,1.751,6,,Unknown,34.0,False
1113,4,7.0,1.826,4,22.0,Unknown,22.0,True
1116,7,5.429,1.988,7,29.0,Unknown,29.0,True
1129,10,6.2,2.348,10,53.0,Unknown,53.0,True
1131,24,7.125,0.85,24,22.0,Unknown,22.0,True
1155,13,7.615,1.325,13,22.0,Unknown,22.0,True
1161,5,7.2,2.588,5,,Unknown,34.0,False
1167,8,7.0,1.927,8,25.0,Unknown,25.0,True
1178,4,7.75,3.862,4,,Unknown,34.0,False
1184,4,6.0,2.0,4,38.0,Unknown,38.0,True
1211,53,8.057,1.365,53,22.0,Unknown,22.0,True
1219,3,7.0,1.0,3,17.0,Unknown,17.0,True
1235,3,8.333,1.155,3,,Unknown,34.0,False
1248,23,9.565,0.896,23,,Unknown,34.0,False
1249,4,7.75,2.062,4,,Unknown,34.0,False
1254,4,9.0,1.414,4,26.0,Unknown,26.0,True
1261,5,7.2,0.837,5,46.0,Unknown,46.0,True
1294,3,7.667,0.577,3,,Unknown,34.0,False
1297,4,8.0,1.414,4,30.0,Unknown,30.0,True
1309,3,9.0,1.732,3,28.0,Unknown,28.0,True
1331,3,7.667,2.309,3,32.0,Unknown,32.0,True
1343,7,8.143,1.574,7,33.0,Unknown,33.0,True
1368,4,6.5,1.0,4,22.0,Unknown,22.0,True
1372,4,7.75,2.217,4,34.0,Unknown,34.0,True
1376,4,7.75,0.957,4,,Unknown,34.0,False
1399,3,9.333,0.577,3,41.0,Unknown,41.0,True
1409,6,7.333,1.506,6,74.0,Unknown,74.0,True
1412,8,8.125,1.246,8,47.0,Unknown,47.0,True
1421,4,6.25,1.5,4,55.0,Unknown,55.0,True
1424,68,7.059,0.991,68,,Unknown,34.0,False
1435,46,7.043,2.149,46,36.0,Unknown,36.0,True
1436,3,7.333,1.528,3,,Unknown,34.0,False
1467,5,6.6,0.894,5,,Unknown,34.0,False
1485,5,8.2,1.483,5,30.0,Unknown,30.0,True
1499,3,6.667,2.082,3,,Unknown,34.0,False
1517,4,5.0,1.826,4,32.0,Unknown,32.0,True
1548,15,7.067,1.981,15,28.0,Unknown,28.0,True
1558,6,9.333,1.211,6,61.0,Unknown,61.0,True
1585,16,5.875,1.258,16,29.0,Unknown,29.0,True
1596,3,5.667,0.577,3,51.0,Unknown,51.0,True
1597,4,5.75,1.5,4,23.0,Unknown,23.0,True
1608,5,7.8,1.789,5,27.0,Unknown,27.0,True
1619,3,7.667,1.155,3,,Unknown,34.0,False
1652,5,6.6,0.894,5,,Unknown,34.0,False
1660,8,5.75,1.282,8,,Unknown,34.0,False
1667,4,6.5,1.291,4,,Unknown,34.0,False
1674,25,7.96,2.653,25,26.0,Unknown,26.0,True
1688,5,6.2,1.643,5,53.0,Unknown,53.0,True
1696,3,8.0,0.0,3,34.0,Unknown,34.0,True
1706,7,7.286,2.138,7,26.0,Unknown,26.0,True
1719,4,5.5,1.915,4,,Unknown,34.0,False
1725,6,8.333,1.633,6,25.0,Unknown,25.0,True
1733,91,7.319,2.049,91,30.0,Unknown,30.0,True
1790,6,6.5,1.761,6,25.0,Unknown,25.0,True
1791,3,7.667,0.577,3,,Unknown,34.0,False
1797,5,8.2,1.924,5,,Unknown,34.0,False
1805,8,7.375,0.916,8,,Unknown,34.0,False
1812,5,7.6,1.14,5,24.0,Unknown,24.0,True
1830,3,6.333,0.577,3,54.0,Unknown,54.0,True
1838,3,8.667,0.577,3,,Unknown,34.0,False
1848,31,8.806,1.682,31,22.0,Unknown,22.0,True
1850,8,6.875,1.458,8,,Unknown,34.0,False
1898,4,8.25,0.5,4,47.0,Unknown,47.0,True
1903,54,8.37,2.673,54,36.0,Unknown,36.0,True
1923,3,8.0,0.0,3,,Unknown,34.0,False
1928,6,7.333,2.066,6,17.0,Unknown,17.0,True
1973,3,7.0,0.0,3,,Unknown,34.0,False
1990,8,7.625,1.506,8,32.0,Unknown,32.0,True
1996,3,7.333,0.577,3,34.0,Unknown,34.0,True
2009,6,8.0,0.894,6,31.0,Unknown,31.0,True
2010,12,6.417,2.314,12,,Unknown,34.0,False
2012,11,7.455,2.339,11,34.0,Unknown,34.0,True
2024,26,7.654,1.573,26,34.0,Unknown,34.0,True
2030,47,9.851,0.78,47,31.0,Unknown,31.0,True
2033,132,8.705,1.629,132,27.0,Unknown,27.0,True
2041,11,5.909,2.256,11,,Unknown,34.0,False
2084,17,7.176,0.883,17,21.0,Unknown,21.0,True
2090,5,6.8,2.168,5,28.0,Unknown,28.0,True
2103,15,9.067,1.387,15,43.0,Unknown,43.0,True
2106,5,5.8,1.483,5,44.0,Unknown,44.0,True
2110,103,8.282,1.7,103,,Unknown,34.0,False
2132,8,7.375,2.615,8,,Unknown,34.0,False
2134,8,8.375,1.598,8,35.0,Unknown,35.0,True
2136,4,7.25,1.5,4,45.0,Unknown,45.0,True
2139,6,8.833,1.329,6,33.0,Unknown,33.0,True
2152,4,7.25,0.5,4,,Unknown,34.0,False
2172,3,7.333,2.517,3,17.0,Unknown,17.0,True
2179,23,8.957,0.767,23,30.0,Unknown,30.0,True
2189,6,6.833,1.722,6,24.0,Unknown,24.0,True
2197,9,8.222,0.972,9,26.0,Unknown,26.0,True
2209,4,8.0,0.0,4,26.0,Unknown,26.0,True
2255,3,7.667,0.577,3,35.0,Unknown,35.0,True
2276,212,8.349,1.701,212,46.0,Unknown,46.0,True
2287,8,6.25,0.707,8,35.0,Unknown,35.0,True
2288,14,7.214,2.424,14,30.0,Unknown,30.0,True
2313,28,7.071,1.676,28,23.0,Unknown,23.0,True
2326,3,8.333,0.577,3,23.0,Unknown,23.0,True
2333,4,7.5,1.0,4,,Unknown,34.0,False
2337,17,8.824,1.131,17,34.0,Unknown,34.0,True
2354,3,7.667,0.577,3,,Unknown,34.0,False
2358,22,7.409,0.854,22,23.0,Unknown,23.0,True
2363,22,8.682,1.041,22,42.0,Unknown,42.0,True
2375,4,7.5,1.0,4,20.0,Unknown,20.0,True
2385,3,7.0,1.0,3,,Unknown,34.0,False
2389,3,6.667,2.082,3,,Unknown,34.0,False
2399,6,7.667,1.966,6,32.0,Unknown,32.0,True
2406,8,4.0,2.138,8,48.0,Unknown,48.0,True
2411,7,5.0,1.0,7,37.0,Unknown,37.0,True
2414,3,6.0,1.0,3,,Unknown,34.0,False
2437,8,8.125,1.126,8,45.0,Unknown,45.0,True
2439,8,8.0,1.069,8,26.0,Unknown,26.0,True
2442,72,6.778,1.663,72,25.0,Unknown,25.0,True
2462,6,8.333,0.516,6,,Unknown,34.0,False
2466,3,9.333,0.577,3,,Unknown,34.0,False
2481,3,8.333,0.577,3,,Unknown,34.0,False
2488,6,3.833,2.639,6,65.0,Unknown,65.0,True
2545,3,4.333,0.577,3,48.0,Unknown,48.0,True
2549,6,7.667,1.366,6,31.0,Unknown,31.0,True
2552,4,6.5,1.0,4,,Unknown,34.0,False
2559,3,4.667,2.082,3,,Unknown,34.0,False
2589,8,6.875,1.356,8,,Unknown,34.0,False
2597,3,8.0,1.0,3,29.0,Unknown,29.0,True
2622,6,7.167,2.787,6,41.0,Unknown,41.0,True
2630,3,8.0,0.0,3,66.0,Unknown,66.0,True
2655,5,6.6,1.673,5,,Unknown,34.0,False
2685,8,6.875,2.232,8,21.0,Unknown,21.0,True
2688,3,3.667,1.528,3,16.0,Unknown,16.0,True
2719,13,6.923,1.553,13,37.0,Unknown,37.0,True
2731,4,4.25,0.957,4,,Unknown,34.0,False
2738,5,7.4,2.191,5,32.0,Unknown,32.0,True
2766,86,8.07,1.176,86,42.0,Unknown,42.0,True
2769,8,7.875,1.642,8,27.0,Unknown,27.0,True
2770,4,7.75,1.5,4,,Unknown,34.0,False
2776,3,8.0,1.0,3,,Unknown,34.0,False
2789,6,6.667,1.862,6,28.0,Unknown,28.0,True
2793,13,7.385,1.044,13,34.0,Unknown,34.0,True
2799,12,7.583,1.311,12,,Unknown,34.0,False
2803,3,7.0,0.0,3,36.0,Unknown,36.0,True
2853,5,8.8,1.304,5,,Unknown,34.0,False
2854,4,6.75,1.258,4,36.0,Unknown,36.0,True
2855,5,6.0,1.414,5,35.0,Unknown,35.0,True
2891,53,7.132,1.345,53,,Unknown,34.0,False
2893,4,6.25,0.957,4,21.0,Unknown,21.0,True
2896,4,7.5,1.732,4,20.0,Unknown,20.0,True
2906,3,6.333,3.055,3,20.0,Unknown,20.0,True
2935,4,6.0,1.414,4,59.0,Unknown,59.0,True
2939,3,4.0,0.0,3,31.0,Unknown,31.0,True
2954,12,7.25,1.545,12,71.0,Unknown,71.0,True
2977,66,7.364,2.167,66,25.0,Unknown,25.0,True
2996,5,7.2,0.447,5,21.0,Unknown,21.0,True
3017,8,7.5,1.773,8,,Unknown,34.0,False
3099,3,7.333,0.577,3,,Unknown,34.0,False
3104,4,6.75,0.957,4,27.0,Unknown,27.0,True
3106,5,8.6,2.191,5,,Unknown,34.0,False
3142,5,8.6,0.894,5,29.0,Unknown,29.0,True
3145,17,7.941,1.6,17,34.0,Unknown,34.0,True
3154,3,7.0,1.732,3,,Unknown,34.0,False
3167,39,7.846,1.679,39,42.0,Unknown,42.0,True
3168,4,6.0,1.826,4,17.0,Unknown,17.0,True
3189,4,4.75,0.957,4,17.0,Unknown,17.0,True
3191,3,6.333,1.528,3,29.0,Unknown,29.0,True
3192,6,6.5,0.837,6,,Unknown,34.0,False
3247,3,8.667,1.528,3,25.0,Unknown,25.0,True
3266,5,8.2,1.304,5,,Unknown,34.0,False
3282,22,9.182,0.795,22,52.0,Unknown,52.0,True
3289,3,7.333,2.082,3,38.0,Unknown,38.0,True
3326,13,5.923,1.706,13,37.0,Unknown,37.0,True
3329,12,7.0,1.414,12,,Unknown,34.0,False
3331,11,8.0,1.844,11,60.0,Unknown,60.0,True
3332,4,6.75,1.258,4,54.0,Unknown,54.0,True
3344,5,7.8,0.837,5,61.0,Unknown,61.0,True
3346,50,8.06,1.504,50,20.0,Unknown,20.0,True
3350,5,7.8,1.483,5,23.0,Unknown,23.0,True
3355,5,7.4,0.894,5,19.0,Unknown,19.0,True
3362,3,5.333,2.082,3,,Unknown,34.0,False
3363,94,8.979,1.155,94,29.0,Unknown,29.0,True
3368,4,7.25,1.5,4,,Unknown,34.0,False
3371,38,7.789,1.695,38,25.0,Unknown,25.0,True
3373,32,6.219,1.718,32,30.0,Unknown,30.0,True
3374,5,8.8,0.837,5,47.0,Unknown,47.0,True
3416,9,7.778,2.682,9,34.0,Unknown,34.0,True
3418,10,7.4,1.713,10,14.0,Unknown,14.0,True
3427,3,7.333,2.082,3,50.0,Unknown,50.0,True
3462,7,8.714,0.756,7,,Unknown,34.0,False
3467,5,8.6,0.548,5,36.0,Unknown,36.0,True
3471,8,8.125,1.642,8,,Unknown,34.0,False
3472,3,9.0,1.0,3,24.0,Unknown,24.0,True
3481,4,6.5,1.291,4,49.0,Unknown,49.0,True
3488,5,7.8,1.643,5,21.0,Unknown,21.0,True
3508,3,6.0,1.732,3,46.0,Unknown,46.0,True
3537,3,6.333,0.577,3,,Unknown,34.0,False
3538,24,7.75,1.648,24,31.0,Unknown,31.0,True
3542,4,5.0,3.559,4,,Unknown,34.0,False
3543,4,9.5,1.0,4,37.0,Unknown,37.0,True
3556,26,9.308,1.192,26,68.0,Unknown,68.0,True
3569,8,7.5,2.976,8,,Unknown,34.0,False
3578,19,8.263,2.377,19,25.0,Unknown,25.0,True
3580,3,6.0,2.0,3,44.0,Unknown,44.0,True
3583,3,5.667,0.577,3,48.0,Unknown,48.0,True
3594,13,6.923,0.76,13,48.0,Unknown,48.0,True
3601,3,7.333,0.577,3,33.0,Unknown,33.0,True
3605,3,7.0,1.732,3,28.0,Unknown,28.0,True
3640,12,6.333,1.497,12,,Unknown,34.0,False
3643,4,6.5,3.109,4,,Unknown,34.0,False
3655,3,7.667,2.517,3,33.0,Unknown,33.0,True
3659,3,7.333,1.155,3,,Unknown,34.0,False
3669,7,8.0,2.38,7,34.0,Unknown,34.0,True
3675,29,7.69,1.929,29,24.0,Unknown,24.0,True
3693,12,7.75,1.422,12,23.0,Unknown,23.0,True
3719,17,7.294,0.92,17,18.0,Unknown,18.0,True
3728,3,7.667,1.155,3,40.0,Unknown,40.0,True
3743,5,8.4,1.817,5,29.0,Unknown,29.0,True
3752,4,5.75,0.957,4,44.0,Unknown,44.0,True
3757,523,6.996,0.753,523,,Unknown,34.0,False
3775,4,6.5,1.732,4,57.0,Unknown,57.0,True
3777,3,5.0,1.0,3,27.0,Unknown,27.0,True
3791,10,7.3,0.949,10,57.0,Unknown,57.0,True
3792,3,10.0,0.0,3,12.0,Unknown,12.0,True
3799,5,8.2,0.837,5,18.0,Unknown,18.0,True
3814,7,5.429,1.618,7,,Unknown,34.0,False
3816,4,6.75,0.957,4,33.0,Unknown,33.0,True
3817,8,7.75,1.282,8,29.0,Unknown,29.0,True
3827,70,8.186,1.417,70,23.0,Unknown,23.0,True
3840,19,8.579,1.427,19,46.0,Unknown,46.0,True
3874,3,4.0,2.646,3,,Unknown,34.0,False
3917,27,7.556,1.251,27,25.0,Unknown,25.0,True
3923,43,5.814,1.803,43,,Unknown,34.0,False
3944,3,7.0,1.0,3,,Unknown,34.0,False
3965,6,7.0,1.265,6,,Unknown,34.0,False
3977,5,7.8,1.095,5,63.0,Unknown,63.0,True
3983,6,6.0,1.095,6,,Unknown,34.0,False
4017,156,8.968,1.365,156,48.0,Unknown,48.0,True
4049,5,7.8,1.304,5,65.0,Unknown,65.0,True
4051,3,7.667,2.082,3,37.0,Unknown,37.0,True
4066,5,7.8,1.643,5,31.0,Unknown,31.0,True
4090,5,8.2,1.095,5,,Unknown,34.0,False
4091,7,7.143,1.574,7,77.0,Unknown,77.0,True
4092,14,6.857,1.099,14,27.0,Unknown,27.0,True
4098,8,7.5,2.33,8,30.0,Unknown,30.0,True
4107,3,7.667,2.517,3,19.0,Unknown,19.0,True
4114,7,6.0,1.826,7,,Unknown,34.0,False
4131,18,7.722,1.873,18,51.0,Unknown,51.0,True
4134,4,3.5,3.697,4,42.0,Unknown,42.0,True
4138,5,7.4,1.342,5,20.0,Unknown,20.0,True
4144,3,7.0,1.732,3,31.0,Unknown,31.0,True
4149,10,5.4,2.914,10,,Unknown,34.0,False
4157,30,7.667,2.264,30,39.0,Unknown,39.0,True
4164,5,4.2,2.28,5,,Unknown,34.0,False
4179,5,7.8,1.643,5,18.0,Unknown,18.0,True
4197,21,7.571,1.469,21,61.0,Unknown,61.0,True
4216,4,8.5,1.0,4,,Unknown,34.0,False
4221,12,8.167,1.193,12,,Unknown,34.0,False
4223,11,6.909,1.221,11,28.0,Unknown,28.0,True
4225,5,6.6,1.949,5,33.0,Unknown,33.0,True
4228,4,8.25,1.5,4,41.0,Unknown,41.0,True
4260,5,7.4,0.894,5,31.0,Unknown,31.0,True
4292,5,6.4,2.191,5,,Unknown,34.0,False
4303,3,6.0,3.0,3,,Unknown,34.0,False
4306,3,5.667,1.528,3,48.0,Unknown,48.0,True
4334,26,7.308,1.011,26,38.0,Unknown,38.0,True
4363,3,7.333,2.082,3,22.0,Unknown,22.0,True
4365,6,9.167,2.041,6,19.0,Unknown,19.0,True
4385,213,9.728,0.765,213,33.0,Unknown,33.0,True
4401,8,8.125,1.246,8,28.0,Unknown,28.0,True
4420,6,7.333,1.506,6,24.0,Unknown,24.0,True
4428,5,7.0,1.0,5,31.0,Unknown,31.0,True
4433,4,8.5,0.577,4,17.0,Unknown,17.0,True
4435,30,7.033,1.189,30,30.0,Unknown,30.0,True
4483,8,7.75,1.165,8,,Unknown,34.0,False
4514,25,7.96,1.274,25,23.0,Unknown,23.0,True
4518,3,8.667,1.155,3,30.0,Unknown,30.0,True
4541,3,8.0,1.0,3,32.0,Unknown,32.0,True
4547,4,6.5,1.732,4,24.0,Unknown,24.0,True
4570,6,6.833,1.169,6,40.0,Unknown,40.0,True
4571,7,6.571,1.618,7,23.0,Unknown,23.0,True
4590,4,8.25,1.258,4,21.0,Unknown,21.0,True
4600,14,8.143,2.033,14,32.0,Unknown,32.0,True
4614,4,9.25,1.5,4,35.0,Unknown,35.0,True
4622,17,6.235,2.437,17,18.0,Unknown,18.0,True
4705,3,6.333,1.155,3,,Unknown,34.0,False
4710,10,5.7,1.252,10,43.0,Unknown,43.0,True
4769,6,8.167,0.983,6,35.0,Unknown,35.0,True
4781,3,6.667,0.577,3,47.0,Unknown,47.0,True
4785,29,7.172,1.583,29,30.0,Unknown,30.0,True
4795,13,8.923,0.862,13,18.0,Unknown,18.0,True
4802,6,7.0,2.28,6,28.0,Unknown,28.0,True
4809,7,7.857,1.069,7,,Unknown,34.0,False
4816,7,8.857,0.69,7,,Unknown,34.0,False
4821,3,5.667,0.577,3,44.0,Unknown,44.0,True
4838,6,6.5,2.429,6,,Unknown,34.0,False
4845,5,7.4,2.302,5,,Unknown,34.0,False
4896,25,9.44,1.387,25,18.0,Unknown,18.0,True
4937,3,6.667,1.155,3,,Unknown,34.0,False
4938,25,7.96,1.428,25,30.0,Unknown,30.0,True
4947,5,6.0,2.121,5,32.0,Unknown,32.0,True
4948,3,9.0,1.0,3,42.0,Unknown,42.0,True
5027,4,7.0,3.559,4,31.0,Unknown,31.0,True
5037,16,7.188,2.738,16,26.0,Unknown,26.0,True
5048,7,8.571,1.272,7,,Unknown,34.0,False
5091,5,7.6,0.894,5,,Unknown,34.0,False
5127,11,8.0,1.183,11,33.0,Unknown,33.0,True
5158,3,7.667,0.577,3,21.0,Unknown,21.0,True
5163,6,5.0,0.0,6,,Unknown,34.0,False
5204,10,8.6,1.578,10,24.0,Unknown,24.0,True
5207,6,7.667,0.816,6,34.0,Unknown,34.0,True
5208,3,8.0,1.0,3,20.0,Unknown,20.0,True
5209,55,8.364,1.352,55,48.0,Unknown,48.0,True
5223,4,6.0,3.83,4,36.0,Unknown,36.0,True
5225,6,7.333,1.966,6,27.0,Unknown,27.0,True
5268,3,8.0,2.646,3,,Unknown,34.0,False
5285,3,8.333,2.082,3,38.0,Unknown,38.0,True
5286,7,8.143,1.345,7,18.0,Unknown,18.0,True
5287,5,8.2,2.49,5,22.0,Unknown,22.0,True
5294,3,5.667,2.082,3,22.0,Unknown,22.0,True
5300,7,6.286,1.799,7,,Unknown,34.0,False
5331,21,9.095,0.995,21,26.0,Unknown,26.0,True
5333,14,7.214,0.699,14,49.0,Unknown,49.0,True
5350,32,6.406,1.643,32,20.0,Unknown,20.0,True
5375,5,7.2,1.304,5,47.0,Unknown,47.0,True
5385,20,7.55,2.417,20,30.0,Unknown,30.0,True
5416,6,7.333,1.211,6,,Unknown,34.0,False
5439,12,8.25,2.05,12,66.0,Unknown,66.0,True
5448,16,8.0,1.211,16,14.0,Unknown,14.0,True
5452,4,5.75,1.5,4,26.0,Unknown,26.0,True
5459,4,7.0,0.816,4,,Unknown,34.0,False
5476,27,6.63,2.29,27,,Unknown,34.0,False
5490,10,5.6,1.075,10,33.0,Unknown,33.0,True
5499,36,9.5,1.082,36,60.0,Unknown,60.0,True
5501,3,7.667,1.155,3,,Unknown,34.0,False
5506,3,7.333,2.517,3,19.0,Unknown,19.0,True
5539,19,7.421,2.009,19,32.0,Unknown,32.0,True
5543,30,6.967,1.79,30,29.0,Unknown,29.0,True
5555,9,7.222,1.202,9,,Unknown,34.0,False
5582,132,8.25,1.908,132,26.0,Unknown,26.0,True
5584,3,6.0,1.732,3,,Unknown,34.0,False
5604,3,8.0,2.0,3,48.0,Unknown,48.0,True
5609,10,9.4,1.075,10,25.0,Unknown,25.0,True
5615,3,9.0,1.732,3,,Unknown,34.0,False
5638,7,6.857,2.193,7,,Unknown,34.0,False
5639,5,7.6,1.14,5,34.0,Unknown,34.0,True
5644,3,6.667,0.577,3,23.0,Unknown,23.0,True
5665,7,7.571,1.272,7,40.0,Unknown,40.0,True
5666,3,8.667,1.528,3,,Unknown,34.0,False
5669,5,8.4,1.673,5,,Unknown,34.0,False
5674,5,7.2,1.643,5,15.0,Unknown,15.0,True
5703,4,9.5,0.577,4,,Unknown,34.0,False
5709,8,7.25,1.389,8,15.0,Unknown,15.0,True
5722,7,6.857,1.345,7,23.0,Unknown,23.0,True
5728,10,7.8,1.398,10,22.0,Unknown,22.0,True
5730,4,8.75,0.957,4,20.0,Unknown,20.0,True
5737,3,7.333,2.082,3,44.0,Unknown,44.0,True
5741,10,8.5,0.85,10,20.0,Unknown,20.0,True
5746,5,7.8,1.483,5,,Unknown,34.0,False
5766,3,6.0,1.0,3,40.0,Unknown,40.0,True
5777,6,8.5,1.225,6,,Unknown,34.0,False
5783,4,8.0,0.816,4,32.0,Unknown,32.0,True
5790,5,6.6,1.14,5,34.0,Unknown,34.0,True
5792,4,6.75,1.258,4,16.0,Unknown,16.0,True
5815,9,7.444,1.667,9,,Unknown,34.0,False
5834,8,6.75,1.909,8,26.0,Unknown,26.0,True
5896,3,10.0,0.0,3,,Unknown,34.0,False
5899,24,8.083,1.792,24,25.0,Unknown,25.0,True
5903,19,7.684,1.157,19,25.0,Unknown,25.0,True
5920,7,8.714,0.951,7,35.0,Unknown,35.0,True
5932,6,4.5,1.225,6,,Unknown,34.0,False
5942,5,6.0,2.55,5,,Unknown,34.0,False
5956,24,5.458,1.062,24,27.0,Unknown,27.0,True
5958,3,7.667,1.528,3,37.0,Unknown,37.0,True
5963,8,6.375,2.2,8,38.0,Unknown,38.0,True
5971,7,7.714,0.756,7,34.0,Unknown,34.0,True
5998,6,6.167,2.483,6,32.0,Unknown,32.0,True
6004,4,8.75,2.5,4,37.0,Unknown,37.0,True
6007,4,5.75,1.5,4,,Unknown,34.0,False
6017,3,7.0,1.732,3,15.0,Unknown,15.0,True
6051,3,9.0,1.0,3,33.0,Unknown,33.0,True
6073,52,8.442,1.29,52,28.0,Unknown,28.0,True
6092,22,8.045,1.29,22,,Unknown,34.0,False
6102,5,7.4,1.949,5,28.0,Unknown,28.0,True
6112,5,7.4,1.517,5,16.0,Unknown,16.0,True
6115,11,9.636,0.924,11,,Unknown,34.0,False
6139,4,6.75,0.957,4,24.0,Unknown,24.0,True
6156,4,8.25,0.957,4,,Unknown,34.0,False
6218,5,8.2,0.837,5,,Unknown,34.0,False
6238,31,8.806,1.138,31,38.0,Unknown,38.0,True
6242,226,6.181,1.142,226,,Unknown,34.0,False
6249,6,9.333,0.816,6,,Unknown,34.0,False
6251,224,8.652,1.4,224,32.0,Unknown,32.0,True
6265,3,6.667,1.528,3,69.0,Unknown,69.0,True
6273,11,7.0,0.894,11,,Unknown,34.0,False
6274,4,7.0,1.414,4,22.0,Unknown,22.0,True
6276,3,10.0,0.0,3,,Unknown,34.0,False
6280,21,6.857,1.769,21,46.0,Unknown,46.0,True
6284,3,6.667,2.517,3,40.0,Unknown,40.0,True
6285,4,7.0,0.816,4,70.0,Unknown,70.0,True
6323,61,5.213,2.409,61,35.0,Unknown,35.0,True
6330,12,5.417,2.151,12,37.0,Unknown,37.0,True
6333,9,6.444,0.726,9,45.0,Unknown,45.0,True
6338,3,8.0,1.732,3,18.0,Unknown,18.0,True
6345,15,8.067,1.751,15,29.0,Unknown,29.0,True
